City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Ambovombe,MG,2021-03-07 23:47:17,-25.1667,46.0833,71.73,83,4,6.91,clear sky
166,Hirara,JP,2021-03-07 23:47:17,24.8,125.2833,69.8,94,75,10.36,broken clouds
167,Chokurdakh,RU,2021-03-07 23:47:18,70.6333,147.9167,-13.04,89,100,10.83,overcast clouds
168,Havoysund,NO,2021-03-07 23:47:18,70.9963,24.6622,23.0,80,40,6.91,light snow
169,Vilhena,BR,2021-03-07 23:47:19,-12.7406,-60.1458,71.6,100,75,4.61,heavy intensity rain
170,Ormara,PK,2021-03-07 23:47:19,25.2088,64.6357,72.52,72,0,8.81,clear sky
171,Puro,PH,2021-03-07 23:47:20,12.4841,123.3827,79.95,76,86,13.38,overcast clouds
172,Tocopilla,CL,2021-03-07 23:47:20,-22.092,-70.1979,71.69,69,34,9.73,scattered clouds
173,Ous,RU,2021-03-07 23:47:21,60.9058,61.5186,-5.8,92,78,2.53,broken clouds
174,Tongchuan,CN,2021-03-07 23:47:21,35.0806,109.0897,39.18,80,100,3.98,light rain
175,Xiongzhou,CN,2021-03-07 23:47:21,25.1167,114.3,55.44,78,56,3.56,broken clouds
176,Choya,RU,2021-03-07 23:47:22,52.0108,86.5467,20.8,95,95,3.47,overcast clouds
177,Ravar,IR,2021-03-07 23:47:22,31.2656,56.8055,52.86,40,0,3.31,clear sky
178,Tazovskiy,RU,2021-03-07 23:47:23,67.4667,78.7,-24.32,88,95,1.32,overcast clouds
179,Saint-Pierre,RE,2021-03-07 23:47:23,-21.3393,55.4781,77.0,88,44,6.91,scattered clouds
180,Kavieng,PG,2021-03-07 23:47:24,-2.5744,150.7967,82.44,77,99,9.51,moderate rain
181,Omboue,GA,2021-03-07 23:47:24,-1.5746,9.2618,77.65,88,20,4.12,few clouds
182,Dondo,MZ,2021-03-07 23:47:24,-19.6094,34.7431,70.32,95,42,2.39,scattered clouds
183,Vanimo,PG,2021-03-07 23:47:25,-2.6741,141.3028,82.81,69,99,2.42,overcast clouds
